"","Nome","Artista","Ano","ID","N_palavras","N_palavras_bin","Dif","Idioma_1","Idioma_2","Idioma_3","Idioma_4"
"1","Little Darling","Lana Bittencourt",1958,5801,80,46,34,"en","scots","eng","en"
"2","Cabecinha no Ombro","Alcides Gerardi",1958,5802,92,33,59,"pt","portuguese","por","pt"
"3","Sereno","Paulo Molin",1958,5803,115,52,63,"pt","portuguese","por","pt"
"4","Ouça","Maysa",1958,5804,83,41,42,"pt","portuguese","por","pt"
"5","Nel Blu Dipinto Di Blu (Volare)","Domenico Modugno",1958,5805,144,72,72,"it","italian","ita","it"
"6","Fascinação","Gilberto Alves",1958,5806,39,29,10,"pt","portuguese","por","pt"
"7","Abismo","Anísio Silva",1958,5807,167,41,126,"pt","portuguese","por","pt"
"8","Escultura","Nelson Gonçalves",1958,5808,66,56,10,"pt","portuguese","por","pt"
"9","Love Me Forever","The Playings",1958,5809,148,75,73,"en","scots","eng","en"
"10","Patricia","Emilinha Borba",1958,5810,247,83,164,"en","english","eng","en"
"11","Fanzoca do Rádio","Carequinha",1958,5811,61,34,27,"pt","portuguese","por","pt"
"12","Cachito","Nat King Cole",1958,5812,120,44,76,"es","spanish","spa","es"
"13","Alone","Lana Bittencourt",1958,5813,101,31,70,"en","scots","eng","en"
"14","O Gondoleiro","Neuza Maria",1958,5814,133,97,36,"pt","portuguese","por","pt"
"15","Covarde","Fernando Barreto",1958,5815,159,61,98,"pt","portuguese","por","pt"
"16","Diana","Paul Anka",1958,5816,213,79,134,"en","english","eng","en"
"17","Se Todos Fossem Iguais a Você","Agostinho dos Santos",1958,5817,65,44,21,"pt","portuguese","por","pt"
"18","Castigo","Roberto Luna",1958,5818,85,56,29,"pt","portuguese","por","pt"
"19","Moda da Pinga (Marvada Pinga)","Inezita Barroso",1958,5819,139,102,37,"pt","portuguese","por","pt"
"20","Babalu","Angela Maria",1958,5820,47,32,15,"es","spanish","por","es"
"21","A Taça do Mundo é Nossa","Coral do Caneco",1958,5821,137,24,113,"pt","portuguese","por","pt"
"22","Balada Triste","Agostinho dos Santos",1958,5822,74,35,39,"pt","portuguese","por","pt"
"23","O Apito no Samba","Marlene",1958,5823,98,52,46,"pt","portuguese","por","pt"
"24","Linda","Cauby Peixoto",1958,5824,315,127,188,"pt","portuguese","por","pt"
"25","Around The World","Victor Young",1958,5825,432,3,429,NA,"english","eng",NA
"26","Diana","Carlos Gonzaga",1958,5826,213,79,134,"en","english","eng","en"
"27","Eu Não Existo Sem Você","Maysa",1958,5827,82,49,33,"pt","portuguese","por","pt"
"28","It's Not For Me To Say","Johnny Mathis",1958,5828,101,47,54,"en","english","eng","en"
"29","Patricia","Perez Prado",1958,5829,247,83,164,"en","english","eng","en"
"30","Interesseira","Anísio Silva",1958,5830,77,41,36,"pt","portuguese","por","pt"
"31","Marcelino Pão e Vinho","Wilma Bentivegna",1958,5831,145,83,62,"pt","portuguese","por","pt"
"32","Little Darlin'","The Diamonds",1958,5832,80,46,34,"en","scots","eng","en"
"33","When","Kalin Twins",1958,5833,68,55,13,"en","english","eng","en"
"34","Chega de Saudade","João Gilberto",1958,5834,158,66,92,"pt","portuguese","por","pt"
"35","Viva o Meu Samba","Silvio Caldas",1958,5835,157,44,113,"pt","portuguese","por","pt"
"36","Marcha da Fofoca","César de Alencar",1958,5836,232,79,153,"pt","portuguese","por","pt"
"37","Amarras","Oscar Ferreira",1958,5837,194,90,104,"pt","portuguese","por","pt"
"38","An Affair To Remember","Vic Damone",1958,5838,48,33,15,"en","english","eng","en"
"39","Creio em Ti","Francisco Egydio",1958,5839,213,52,161,"pt","portuguese","por","pt"
"40","Apaixonada","Angela Maria",1958,5840,106,47,59,"pt","portuguese","por","pt"
"41","Tequila","The Champs",1958,5841,3,1,2,NA,"latin","kde",NA
"42","Nel Blu Dipinto Di Blu (Volare)","Leny Eversong",1958,5842,144,72,72,"it","italian","ita","it"
"43","Matilda","Harry Belafonte",1958,5843,190,45,145,"en","english","eng","en"
"44","Arrependida","Morgana",1958,5844,100,81,19,"pt","portuguese","por","pt"
"45","Till","Percy Faith",1958,5845,86,40,46,"en","english","eng","en"
"46","Balada dos Anjos","Gordon Jenkins",1958,5846,61,50,11,"pt","portuguese","por","pt"
"47","Abandono Cruel","Carlos Augusto",1958,5847,59,41,18,"pt","portuguese","por","pt"
"48","Pensando em Ti","Nelson Gonçalves",1958,5848,82,36,46,"pt","portuguese","por","pt"
"49","Eu Não Existo Sem Você","Carlos José",1958,5849,82,49,33,"pt","portuguese","por","pt"
"50","Long Tall Sally","Little Richard",1958,5850,93,44,49,"en","english","eng","en"
"51","Calipso Italiano","Renato de Oliveira",1958,5851,74,31,43,"pt","portuguese","por","pt"
"52","Who's Sorry Now","Connie Francis",1958,5852,71,35,36,"en","scots","eng","en"
"53","Balada Triste","Angela Maria",1958,5853,74,35,39,"pt","portuguese","por","pt"
"54","Cansei de Ilusões","Isaura Garcia",1958,5854,51,40,11,"pt","portuguese","por","pt"
"55","Bambina","Francisco Carlos",1958,5855,111,84,27,"en","english","eng","en"
"56","With All My Heart","Lana Bittencourt",1958,5856,260,78,182,"en","english","eng","en"
"57","All The Way","Frank Sinatra",1958,5857,116,55,61,"en","english","sco","en"
"58","Chove Lá Fora","The Platters",1958,5858,46,37,9,"pt","portuguese","por","pt"
"59","Conselho (Summertime)","Lana Bittencourt",1958,5859,180,61,119,"pt","portuguese","por","pt"
"60","Bernardine","Pat Boone",1958,5860,128,75,53,"en","english","eng","en"
"61","Desolação","Agostinho dos Santos",1958,5861,93,80,13,"pt","portuguese","por","pt"
"62","Castigo","Nora Ney",1958,5862,85,56,29,"pt","portuguese","por","pt"
"63","Estrada de Sol","Agostinho dos Santos",1958,5863,95,36,59,"pt","portuguese","por","pt"
"64","Cervezza","Silvio Mazzuca",1958,5864,246,120,126,"es","spanish","spa","es"
"65","Bom Que Dói","Marlene",1958,5865,196,47,149,"pt","portuguese","por","pt"
"66","Banana Split","The Playings",1958,5866,125,37,88,"pt","portuguese","por","pt"
"67","Fascination","Jane Morgan",1958,5867,68,34,34,"en","english","eng","en"
"68","Foi a Noite","Isaura Garcia",1958,5868,42,27,15,"pt","portuguese","por","pt"
"69","Cu-Cu-Ru-Cu-Cu Paloma","Duo Guarujá",1958,5869,133,60,73,NA,"spanish","spa",NA
"70","Tequila","Silvio Mazzuca",1958,5870,3,1,2,NA,"latin","kde",NA
"71","Baiano Burro Nasce Morto","Gordurinha",1958,5871,170,65,105,"pt","portuguese","por","pt"
