ID,Nome,Artista,Letra
5801,Little Darling,The Diamonds,"Eye, yi-eye-eye-eye
Yi-eye-eye-eye
Ya-ya-ya-ahh
Little darlin'
Oh, little darlin'
Oh-oh-oh
Where a-are you?
My love-a
I was wrong-a
(La-la-la-la-la-la)
To-oo try
To lo-ove two
A-hoopa
A-hoopa, hoopa
Kno-ow well-a
That my love-a
(La-la-la-la-la-la)
Wa-as just fo-or you
Oh only you
My darlin'
I need you
(La-la-la-la-la-la)
To call my own
And never do wrong
To hold in mine
Your little hand
(La-la-la-la-la-la)
I'll know too soon
That all is so grand
Please
Hold my hand
My dear-a
I-I was wrong-a
To-oo try
To lo-ove two
A-hoopa
A-hoopa, hoopa
Know well
That my love-a
(La-la-la-la-la-la)
Wa-as just for you
Oh only you"
5802,Cabecinha No Ombro (part. Roberta Miranda),Fagner,"Encosta a tua cabecinha no meu ombro e chora
E conta logo a tua mágoa toda para mim
Quem chora no meu ombro eu juro que não vai embora,
Que não vai embora
Que não vai embora
Encosta a tua cabecinha no meu ombro e chora
E conta logo a tua mágoa toda para mim
Quem chora no meu ombro eu juro que não vai embora,
Que não vai embora
Porque gosta de mim
Amor, eu quero o teu carinho, porque eu vivo tão sozinho
Não sei se a saudade fica ou se ela vai embora,
Se ela vai embora,se ela vai embora
Não sei se a saudade fica ou se ela vai embora,
Se ela vai embora,porque gosta de mim"
5803,Cai Sereno,Dimas e Seus Teclados,"Você diz que eu sou pobre, cai sereno, cai
Vai lá em casa pro cê ver, cai sereno, cai
Eu tenho nota de cem mil, cai sereno, cai
Pra forrar cama pro cê, cai, oh cai, sereno cai
O sereno já caiu, cai sereno, cai
O siriri tá pra chegar, cai sereno, cai
Vou gravar aqui de novo, cai sereno, cai
Pra galera delirar, cai, oh cai, sereno cai
Menina chupa laranja, cai sereno, cai
Não joga a semente fora, cai sereno, cai
Com a semente eu faço uma bala, cai sereno, cai
Pra matar quem te namora, cai, oh cai, sereno cai
Eu plantei Cana-caiana, cai sereno, cai
Pra chupar de come em come, cai sereno, cai
Quem tiver amor firme, cai sereno, cai
Segura, se não eu tomo, cai, oh cai, sereno cai
O tocador deste teclado, cai sereno, cai
Merece comer galinha, cai sereno, cai
Um franguinho arruteado, cai sereno, cai
Bem no fundo da cozinha, cai, oh cai, sereno cai
Se eu soubesse escreve na água, cai sereno, cai
Como escreve no papel, cai sereno, cai
Eu tinha seu nome escrito, cai sereno, cai
Na pedra do meu anel, cai, oh cai, sereno cai
Eu saí de lá de casa, cai sereno, cai
Tô cantando aqui agora, cai sereno, cai
Eu quero agradecer, cai sereno, cai
Meu Deus e Nossa Senhora, cai, oh cai, sereno cai
Oh cai, sereno cai"
5804,Ouça,Maysa,"Ouça, vá viver
Sua vida com outro bem
Hoje eu já cansei
De pra você não ser ninguém
O passado não foi o bastante
Pra lhe convencer
Que o futuro seria bem grande
Só eu e você
Quando a lembrança
Com você for morar
E bem baixinho
De saudade você chorar
Vai lembrar que um dia existiu
Um alguém que só carinho pediu
E você fez questão de não dar
Fez questão de negar
Quando a lembrança
Com você for morar
E bem baixinho
De saudade você chorar
Vai lembrar que um dia existiu
Um alguém que só carinho pediu
E você fez questão de não dar
Fez questão de negar"
5805,Nel Blu Dipinto Di Blu (Volare!),Domenico Modugno,"Penso che un sogno così non ritorni mai più
Mi dipingevo le mani e la faccia di blu
Poi d'improvviso venivo dal vento rapito
E incominciavo a volare nel cielo infinito
Volare, oh, oh!
Cantare, oh, oh, oh, oh!
Nel blu, dipinto di blu
Felice di stare lassù
E volavo, volavo felice
Più in alto del sole ed ancora più su
Mentre il mondo pian piano spariva
Lontano laggiù
Una musica dolce suonava soltanto per me
Volare, oh, oh!
Cantare, oh, oh, oh, oh!
Nel blu, dipinto di blu
Felice di stare lassù
Ma tutti I sogni nell'alba svaniscon perché
Quando tramonta la luna li porta con sé
Ma io continuo a sognare negli occhi tuoi belli
Che sono blu come un cielo trapunto di stelle
Volare, oh, oh!
Cantare, oh, oh, oh, oh!
Nel blu degli occhi tuoi blu
Felice di stare quaggiù
E continuo a volare felice più in alto del sole ed ancora più su
Mentre il mondo pian piano scompare negli occhi tuoi blu
La tua voce è una musica dolce che suona per me
Volare, oh, oh!
Cantare, oh, oh, oh, oh!
Nel blu degli occhi tuoi blu
Felice di stare quaggiù
Nel blu degli occhi tuoi blu
Felice di stare quaggiù
Con te!"
5806,Fascinação,Elis Regina,"Os sonhos mais lindos sonhei
De quimeras mil, um castelo ergui
E no teu olhar, tonto de emoção
Com sofreguidão, mil venturas previ
O teu corpo é luz, sedução
Poema divino, cheio de esplendor
Teu sorriso quente inebria e entontece
És fascinação, amor
Teu sorriso quente inebria e entontece
És fascinação, amor"
5807,Abismo,Jorge & Mateus,"Se eu perder essa briga hoje aqui
Vou deitar e conseguir dormir
Se eu perder você, o que vai ser de mim?
É que, tipo assim
Eu tô disposto a fazer dar certo
Pra que discutir? É só você pedir
Se eu não conseguir, eu chego perto
Gosto de querer você
Te amo das brigas até o prazer
Meu doce veneno que eu preciso
Você é minha flor na beira do abismo
Gosto de querer você
Te amo das brigas até o prazer
Meu doce veneno que eu preciso
Você é minha flor na beira do abismo
Tipo assim
Eu tô disposto a fazer dar certo
Pra que discutir? Só você pedir
Se eu não conseguir, eu chego perto
É que, tipo assim
Eu tô disposto a fazer dar certo
Pra que discutir? É só você pedir
Se eu não conseguir, eu chego perto
Gosto de querer você
Te amo das brigas até o prazer
Meu doce veneno que eu preciso
Você é minha flor na beira do abismo
Gosto de querer você
Te amo das brigas até o prazer
Meu doce veneno que eu preciso
Você é minha flor na beira do abismo
Gosto de querer você
Te amo das brigas até o prazer
Meu doce veneno que eu preciso
Você é minha flor na beira do abismo
Tipo assim
Eu tô disposto a fazer dar certo
Pra que discutir? Só você pedir
Se eu não conseguir, eu chego perto"
5808,Escultura,Nelson Gonçalves,"Cansado de tanto amar
Eu quis um dia criar
Na minha imaginação
Uma mulher diferente
De olhar e voz envolvente
Que atingisse a perfeição
Comecei a esculturar
No meu sonho singular
Essa mulher fantasia
Dei-lhe a voz de Dulcinéia
A malícia de Frinéia
E a pureza de Maria!
Em Gioconda fui buscar
O sorriso e o olhar
Em Du Barry o glamour
E para maior beleza
Dei-lhe o porte de nobreza
De madame Pompadour
E assim, de retalho em retalho
Terminei o meu trabalho
O meu sonho de escultor
E quando cheguei ao fim
Tinha diante de mim
Você, só você meu amor!"
5809,Forever,Chris Brown,"One, two, three, four
Hey, hey (forever)
Hey, hey (forever)
It's you and me, moving at the speed of light into eternity, yeah
Tonight is the night to join me in the middle of ecstasy
Feel the melody and the rhythm of the music around you, around you (oh-oh)
I'ma take you there, I'ma take you there (oh)
So don't be scared, I'm right here, baby
We can go anywhere, go anywhere (yeah)
But first, it's your chance, take my hand, come with me
It's like I've waited my whole life (oh) for this one night (oh)
It's gon' be me, you and the dance floor
'Cause we only got one night (oh, oh)
Double your pleasure, double your fun
And dance fore-e-ever, fore-e-ever
Fore-e-ever, forever
Fore-e-ever, fore-e-ever, fore-e-ever
Forever on the dance floor
Feels like we're on another level, oh
Feels like our love's intertwined
We can be two rebels
Breaking the rules, me and you, you and I
All you gotta do is watch me (watch me)
Look what I can do with my feet (my feet)
Baby, feel the beat inside
I'm driving, you can take the front seat (front seat)
I just need you to trust me (trust me)
Oh (girl), oh (girl), oh (girl)
It's like I've
It's like I've waited my whole life (oh) for this one night (one night, oh)
It's gon' be me, you and the dance floor (dance floor)
'Cause we only got one night (oh, oh, one night)
Double your pleasure, double your fun (yeah)
And dance fore-e-ever, fore-e-ever
Fore-e-ever, forever
Fore-e-ever, fore-e-ever, fore-e-ever
Forever on the dance floor
It's a long way down, we so high off the ground
Sending for an angel to bring me your heart
Girl, where did you come from? Got me so undone
Gaze in your eyes, got me saying: What a beautiful lady
No ifs, ands or maybes
I'm releasing my heart and it's feeling amazing
There's no one else that matters, you love me
And I won't let you fall, girl (fall, girl), let you fall, girl, oh
Oh, oh, yeah, yeah
I won't let you fall, let you fall, let you fall, oh, oh-oh
Yeah, yeah
Yeah, yeah
(It's like) it's like I've waited my whole life (oh, whole life) for this one night (one night)
It's gon' be me, you and the dance floor (me, you and the dance floor)
'Cause we only got one night (oh, oh)
Double your pleasure, double your fun
And dance fore-e-ever, fore-e-ever
Fore-e-ever, forever
(Forever) fore-e-ever, fore-e-ever, fore-e-ever
Forever on the dance floor
Oh, oh, oh-oh-oh-oh-oh
Oh-oh-oh, yeah
Forever, ever, ever, ever
Forever, ever, ever"
5810,Patricia,Florence + The Machine,"Oh Patricia, you've always been my North Star
And I have to tell you something: I'm still afraid of the dark
But you take my hand in your hand, from you flowers grow
And you understand with every seed you sow you make this cold world beautiful
You told me all doors are open to the believer
I believe her, I believe her, I believe her
You told me all doors are open to the believer
I believe her, I believe her, I believe her
Oh Patricia, you've always been my North Star, oh
Oh Patricia, you've always been my North Star, oh
You're a real man, and you do what you can
You only take as much as you can grab with two hands
With your big heart, you praise God above
But how's it working out for you, honey?
Do you feel loved?
She told me all doors are open to the believer
I believe her, I believe her, I believe her
Do you feel loved? Do you feel loved?
She told me all doors are open to the believer
I believe her, I believe her, I believe her
Do you feel loved?
Oh Patricia, you've always been my North Star, oh
Oh Patricia, you've always been my North Star, oh
Oh, oh
I drink too much coffee and think of you often
In a city where reality has long been forgotten
And ah, are you afraid? 'Cause I'm terrified
But you remind me that it's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing
Oh, oh, oh
It's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing to love
It's such a wonderful thing"
