ID,Nome,Artista,Letra
1009,Máscaras (part. Sant e Tiago Mac),Delacruz,"Agora eu quero ver você aparecer
A máscara caiu no final, baby
E fiz parecer que eu saí pra espairecer
E isso tudo é tão natural, baby
Agora eu quero ver você aparecer
A máscara caiu no final, baby
E fiz parecer que eu saí pra espairecer
E isso tudo é tão natural, baby
A vida tem se provado não muito melhor que isso
E não era muito disso que tu tinha projetado
Talvez deva ser anos de serviço
Cantar para multidões e dormir sozinho
Por que tanta pressa em julgar, man?
Se for parar para ler
Tá fácil pra ninguém
Você é só mais um igualzinho
8:15
E ela diz que tudo que faço gira em torno de insatisfações
Que minhas infelicidades serão sempre inspirações
Que eu nunca vou ver o lado bom
Enquanto eu me esforçar por ruim no tom
E que entrego a alma para o mundo
Menos pra ela
Não nego
Sou só eu e o som
Oito e meia
E ela diz que esse meu silêncio asfixia
Que desato nós de gargantas
Com as mesmas linhas que eu me enforcaria
E ela tem razão
Mas são nove horas sigo sem palavras
As delas escorrem
Penso vou embora parte nossa morre
Os que me abraçarão onde estão agora?
Se são quase 10 o que chamo de missão me chama
Por mais que ela ainda insista que é fuga
Um pouco, sim, mas se fosse eu não ia
No fundo, isso elas duas sabiam
E hoje eu me sinto melhor que ontem
Que nessas voltas o que é de ir que vá
E se for ficar que volte
Preciso subir e falar com ela
Melhor que fazer uma rima
Um love song tem um preço alto
Você nem imagina
Quem dera fosse fácil como acham que eu faço (quem dera)
Pior ainda é pensar o motivo que eles acham que eu faço
Música é sentimento, não coisa do momento
Momento é moda
Moda vai e passa
Vai chegar sua hora, mas demora um tempo
E eu tava ciente
Um tanto descrente, mas tô no caminho (tô no caminho)
Você dá sorte que eu te amo, linda
E também não sei ficar sozinho
Hoje eu quero mudar esse jogo
Vem comigo que eu tô cheio de fogo
No terraço, na sala, no quarto
E quando terminar a gente faz de novo
Num eterno loop, ciclo vicioso
Escondido é mais perigoso
Depois das vinte e duas, eu já nem sei quem sou
Asas nos pés
Esse é o nosso show
Fodam-se eles
Hoje é só nós dois
Quero te ver sem ter que me esconder
(É)
Fodam-se eles
Hoje é só nós dois, amor
Eu tô fazendo um rap pra você (pra você)
Foi magia
Eu via todo o futuro
Tiro no escuro
Apliquei, tentei
Fui de cara no muro
Você não entendia
Eu não entendia
Ninguém entendia (é)
Só tava duro
E tudo que eu tinha era um sonho
Você não quis um pedaço
Fiz parecer brincadeira
Naturalmente é o que eu faço
E eu sou mágico, você não vê?
Aprendi fazer dinheiro
Você entrou em desespero
Tentou me puxar de volta
Aí já não foi maneiro
Eu queria mais que isso
Via mais que isso
E voltamos ao dinheiro
Pra você é tudo o que importa
E eu dizia compromisso
Que era muito mais que isso
Eu falhei
Não te apresentei Sabota
Agora eu quero ver você aparecer
A máscara caiu no final, baby
E fiz parecer que eu saí pra esparecer
E isso tudo é tão natural, baby
Agora eu quero ver você aparecer
A máscara caiu no final, baby
E fiz parecer que eu saí pra esparecer
E isso tudo é tão natural, baby"
1018,Hard 2 Face Reality (feat. Poo Bear & Jay Electronica),Justin Bieber,"Sometimes it’s hard to face reality, oh, oh
Even though you might get mad at me, oh, oh
Sometimes it’s hard to face reality
Should’ve been adjusted to my life
Had the oppurtunity to stay away for the last time
Now you’re standing right in front of me
It hurts me to know that I lied
Trying to protect your feelings
You’ve been in between the lines
Hope your heart is still in healing
Sometimes it’s hard to face reality, oh, oh
Even though you might get mad at me, oh, oh
Sometimes it’s hard to face reality
Don’t be afraid to stand alone
Don’t be afraid to stand outside the comfort zone
I know it’s hard away from home
And it ain’t easy all alone
Relationships over the phone
Talkin’ to your significant other all night long
Sometimes it’s hard to face reality, oh, oh
Even though you might get mad at me, oh, oh
Sometimes it’s hard to face reality
Love and death are quite similar
How they come ando go like cat burglars
Reality is kind hard to face
Like actual facts is for flat-earthers
Rain's a requirement for flowers to grow
And pain's a requirement for power to grow
It's a miracle how one can change
From one what was just hours ago
Such is life, though, it's just a cycle
The bigger picture and the smaller picture
It's exactly the same, it's macro, micro
Crack your atom and let your light glow
One day you can be the King of Pop and the next one just be wack old Michael
It's human nature, just like he told us
Let's face reality, crack the cycle
Know it hurts to see the truth in your face
Circumstances bring you down to your knees
Go on and cry an ocean, but don't drown in it
Enough to put your heart at ease
Oh, don't lose your self esteem
I apologise for being a man
It's way harder than what it seems
Sometimes it’s hard to face reality, oh, oh (reality)
Even though you might get mad at me, oh, oh (you might get mad at me, but I'll be at your bedside)
Sometimes it’s hard to face reality
Sometimes it’s hard to face reality"
102,"Jesus, Thank You",Katy Nichole,"Thank You for the goodness
Thank You for Your kindness
Thank You for all the things You do
Jesus, thank You
Jesus, I can hardly count
The times Your grace has pulled me out
Sin and shame had left me bound
I once was lost, but now I'm found
I once was lost, but now I'm found
Thank You for the goodness
Thank You for Your kindness
Thank you for all the things you do
Jesus, thank You
Thank You for the blessings
Thank You for a million little things
Thank You for the ways that You've come through
Jesus, thank You
Looking back, all I can see
Is a history of miracles
I know if You're here with me
Then nothing is impossible
Thank You for the goodness
Thank You for Your kindness
Thank you for all the things you do
Jesus, thank You
Thank You for the blessings
Thank You for a million little things
Thank You for the ways that You've come through
Jesus, thank You
Jesus, thank You (thank You)
Jesus, thank You (thank You)
Jesus, thank You
Thank You, thank You
I can't say it enough
I can't say it enough
I can't say it enough
I can't thank You enough
I can't thank You enough
I can't thank You enough, no
I can't thank You enough
I can't thank You enough
I can't thank You enough
Thank You for Your goodness
Thank You for Your kindness
Thank you for all the things you do
Jesus, thank You
Thank You for the blessings
Thank You for a million little things
Thank You for the ways that You've come through
Jesus, thank You
Jesus, thank You (thank You)
Jesus, thank You (thank You)
Jesus, thank You
Thank You, thank You"
1021,Amar Como Você (Versão Adaptada),Steven Universo,"Se eu pudesse ser assim
Só metade do que pensa de mim
Qualquer coisa poderia fazer
Até aprender a amar
Quando te vejo agir
Como se não fosse me deixar ir
Qualquer coisa poderia fazer
Até aprender a amar como você
Amar como você
Amar a mim como você
Sempre pensei que era ruim
Mas agora eu sei, pois
Você é tão bom
E eu não chego aos seus pés
Olhe pra si
Como eu te adoro
Queria saber por quê me acha especial?
Se eu pudesse te mostrar
Algo que vai lhe agradar
Qualquer coisa poderia fazer
Até aprender a amar
Quando te vejo me olhar
Feliz por me ver voltar
Qualquer coisa poderia fazer
Até aprender a amar
Como você"
1023,Alvorada,Mais1Guerreiro,"Seja onde for a tua mão me guiará,
Seja onde for a tua mão me guiará
Tua mão me guiará
Acolhido, protegido, me livrando do inimigo,
Meu refúgio meu abrigo, o nosso Deus é lindo.
Enquanto eu viver te louvarei, adorarei,
Breve vem Jesus e com ele subirei.
Tranquilidade, fidelidade, e também felicidade,
Caminhar contigo é bom a única verdade.
Teu amor é infinito, incondicional,
Transborda coração Deus é maioral
Sobre tudo e todos está o rei senhor,
Terra céu e mar entoa a ti o louvor
Grandioso, soberano, perfeito são seus planos,
Semente está plantando nos corações dos meus manos.
Excelentíssimo, digníssimo, de um poder riquíssimo,
Toda honra e toda glória a ti o rei altíssimo
Espirito santo me enche
Nas asas da alvorada eu quero voar,
Eu quero voar
Se eu subir aos céus Deus ali estará,
Pelas asas da alvorada, nos extremos do mar.
Seja onde for a tua mão me guiará,
Seja onde for a tua mão me guiará
Tua mão me guiará
Falar de amor na dor tem sido um aprendizado,
Oferecer ajuda quando preciso ser ajudado.
O rei dos reis submetido ao chamado,
A divindade se fez carne prevaleceu no calvário
Dificil entender, que pra ganhar tem que perder,
O sol nasce pra todos e pra que só vê chover?
À noite será só um passar ao alvorecer,
Promessas de alegria tem pra nos fortalecer.
Tem momentos em nossas vidas que e só decepção,
Nessas horas tenho medo de abortar a missão, só que não
Lembro que eu fiz um voto de confissão,
A quem tem todo domínio na palma das mãos
Se tô na cova do leão, qual é minha posição,
Desabar em prantos ou romper em oração.
Adoração em espírito e em verdade,
Que eu venha adorá-lo na adversidade
Se eu subir aos céus Deus ali estará,
Pelas asas da alvorada, nos extremos do mar
Seja onde for a tua mão me guiará,
Seja onde for a tua mão me guiará
Tua mão me guiará
Me sustentado me guardado, o senhor tem me amparado,
Na hora da peleja ele è meu advogado.
Pelo sangue fui comprado, o véu já foi rasgado,
Na cruz meus pecados foram perdoados
De geração em geração com a voz segue clamando,
Com júbilo nos lábios a ti eu vou louvando
Maravilhas a sua destra o senhor vem fazendo,
Com o seu braço santo a salvação vem trazendo.
Somos povo seu e ovelhas do seu pasto,
Ao entramos pela porta nos entregamos nos teus átrios
Hosana nas alturas, bendito seja o rei,
Filho de davi pra ti eu cantarei
O senhor é o meu pastor e nada me faltará,
Assim como pedro nas águas eu vou andar.
Fé, santidade em canaã em vou morar eu vou canaã me espera,
Oh glória, oh glória
Se eu subir aos céus Deus ali estará,
Pelas asas da alvorada, nos extremos do mar
Seja onde for a tua mão me guiará,
Seja onde for a tua mão me guiará
Tua mão me guiará"
1031,Sexy Chick,Akon,"Yes I can see her
Cause every girl in here wanna be her
Oh shes a diva
I feel the same and I wanna meet her
They say she low down
Its just a rumor and I don't believe em
They say she needs to slow down
The baddest thing around town
She's nothing like a girl you've ever seen before
Nothing you can compare to your neighborhood girl
I'm tryna find the words to describe this girl
without being disrespectful
The way that booty movin' I can't take no more
Have to stop what i'm doin so I can pull her close
I'm tryna find the words to describe this girl
without
being disrespectful
Damn girl
Damn you'se a sexy chick
A sexy chick
Damn you'se a sexy chick
Damn girl
Damn you'se a sexy chick
A sexy chick
Damn you'se a sexy chick
Damn girl
Yes I can see her
Cause every girl in here wanna be her
Oh shes a diva
I feel the same and I wanna meet her
They say she low down
Its just a rumor and I don't believe em
They say she needs to slow down
The baddest thing around town
She's nothing like a girl you've ever seen before
Nothing you can compare to your neighborhood girl
I'm tryna find the words to describe this girl
without
being disrespectful
The way that booty movin' I can't take no more
Have to stop what i'm doin so I can pull her close
I'm tryna find the words to describe this girl
without
being disrespectful
Damn girl
Damn you'se a sexy chick
A sexy chick
Damn you'se a sexy chick
Damn girl
Damn you'se a sexy chick
A sexy chick
Damn you'se a sexy chick
Damn girl
Damn you'se a sexy chick
A sexy chick
Damn you'se a sexy chick
Damn girl
Damn you'se a sexy chick
A sexy chick
Damn you'se a sexy chick
Damn you'se a sexy chick"
1037,Sinônimo,Natanzinho Lima,"Porque viver é diferente de estar vivo
Quando o tempo o coração leva pra Zambê
Que o sinônimo de amar é sofrer
No aroma de amor pode haver espinhos
Como ter mulher em cima e nós de ser sozinhos
Na solidão de casa descansar
No sentido da vida encontrar
Ninguém sabe dizer onde a felicidade está
O amor é feito de paixões
Quem ama nunca sente medo de contar o seu segredo
Sinônimo de amor é amar
O amor é feito de paixões
Quando o pé de água são
Quem ama nunca sente medo de contar o seu segredo
Sinônimo de amor é amar
Alô, Dona Adessa, minha avó
Alô, Peiuxa, Fé Moral
Pé embaixo, meu Deus
Vite Amaral
Na solidão de casa descansar
No sentido da vida encontrar
Ninguém sabe dizer
O amor é feito de paixões
Quando o pé de água são
Não sabe quem vai machucar
Nunca sente medo de contar o seu segredo
O amor é feito
Não sabe, não sabe quem vai machucar
Contar o seu segredo
Sinônimo de amor é amar"
1038,Lonely Day,System Of A Down,"Such a lonely day
And it's mine
The most loneliest day of my life
Such a lonely day
Should be banned
It's a day that I can't stand
The most loneliest day of my life
The most loneliest day of my life
Such a lonely day
Shouldn't exist
It's a day that I'll never miss
Such a lonely day
And it's mine
The most loneliest day of my life
And if you go
I wanna go with you
And if you die
I wanna die with you
Take your hand and walk away
The most loneliest day of my life
The most loneliest day of my life
The most loneliest day of my life
Such a lonely day
And it's mine
It's a day that I'm glad I survived"
1045,Só Pra Você Lembrar,Filipe Ret,"Fiz essa canção
Só pra você lembrar
De quando a gente
Não queria nada
Se amava na escada
No elevador
Com a câmera filmando
Lembra de quando você nem ligava?
Qual foi a última vez que cê ficou embriagada?
Deixou o banheiro sujo da boate?
Última vez que você se libertou
Voou
Qual fantasia realizou?
Bebeu, vodka, energético
O que cê fez pra realizar o seu sonho?
O que cê desejou lá pro seu futuro?
Lembra de quando a gente queria o mundo, o mundo?
Fiz essa canção só pra você lembrar
De que vale viver se não temos o direito de errar?
Quero a liberdade de ser quem eu sou
Amar como eu amei o meu primeiro amor
Fiz essa canção só pra você lembrar
Atrás de você eu vou
Vou até o fim do mundo
Eu ainda quero tudo, tudo, tudo
Fiz essa canção só pra você lembrar
Atrás de você eu vou
Vou até o fim do mundo
Eu ainda quero tudo, tudo, tudo
Fiz essa canção só pra você lembrar
De quando a gente não queria nada, se amava na escada
No elevador, com a câmera filmando
Lembra de quando você nem ligava?
Qual foi a última vez que você ficou embriagada?
Deixou o banheiro sujo da boate?
Última vez que cê se libertou
Voou
Bebeu, vodka, energético
O que cê fez pra realizar o seu sonho?
O que cê desejou lá pro seu futuro?
Lembra de quando a gente queria o mundo?
Fiz essa canção só pra você lembrar
De que vale viver se não temos o direito de errar?
Quero a liberdade de ser quem eu sou
Amar como eu amei, amar como eu amei
Fiz essa canção só pra você lembrar
Atrás de você eu vou
Vou até o fim do mundo
Eu ainda quero tudo, tudo, tudo
Só pra você lembrar de mim
Só pra você lembrar de mim"
1056,Linda (part. Anavitória),Projota,"Vem!
Ô, linda!
O que é que você faz pra ser assim tão linda?
Quando se olhar no espelho, diz assim
Tô linda!
Não sei o que dizer pra te ganhar ainda
Mas o começo pode ser assim
Avisa geral que já era
Não tô mais sozinho na pista
Avisa pra elas que eu já fui
Pra zoeira, dei hasta la vista
Só quero uma casa no mato
E uma boa razão pra sonhar
Um cachorro, um gato, comida no prato
E uma cama pra gente quebrar
Tava perdido aqui, cê veio me salvar
Eu sou um eterno aprendiz, você me dá uma aula
É uma canção da Adele, me acalma
Eles querem coisa de pele
A gente tem coisa de alma
Ô, linda!
O que é que você faz pra ser assim tão linda?
Quando se olhar no espelho, diz assim
Tô linda!
Não sei o que dizer pra te ganhar ainda
Mas o começo pode ser assim
Ô, linda!
O que é que você faz pra ser assim tão linda?
Quando se olhar no espelho, diz assim
Tô linda!
Não sei o que dizer pra te ganhar ainda
Mas o começo pode ser assim
E mesmo se eu cantasse todas as canções do mundo
Eu não saberia falar sobre algo tão profundo
Eu sei que, no fundo, só quero algo puro
Se o assunto é você, não seguro
Me sinto seguro
Já posso pensar no futuro
Então vem, você é minha baby honey
Até já desencanei das vezes que me enganei
Ei, eu, que vim da bagunça, até já cansei
Não sou Jorge e Mateus, mas eu também Sosseguei
Vivendo nesse mundo louco
Só quero me entregar um pouco
E permitir sentir
E eu
Ouvi um Djavan pra me inspirar pra te escrever
Ouvi Chico Buarque pra aprender sobre você (é real)
Ouvi Roberto Carlos pra saber como fazer (salve, Rei!)
E ouvi meu coração pra ter coragem de dizer
Ô, linda
O que é que você faz pra ser assim tão linda?
Quando se olhar no espelho, diz assim
Tô linda!
Não sei o que dizer pra te ganhar ainda
Mas o começo pode ser assim
Ô, linda (linda)
O que é que você faz pra ser assim tão linda? (Tão linda)
Quando se olhar no espelho, diz assim
Tô linda!
Não sei o que dizer pra te ganhar ainda
Mas o começo pode ser assim
O que é que você faz?
(O que que você faz, hein?)
O que que você faz?
(Linda demais, você é linda demais, você é linda demais)
Ô, linda!"
