posicao,Tópico 1,Tópico 2,Tópico 3,Tópico 4,Tópico 5,Tópico 6,Tópico 7,Tópico 8,Tópico 9,Tópico 10,Tópico 11,Tópico 12,Tópico 13,Tópico 14,Tópico 15,Tópico 16,Tópico 17,Tópico 18,Tópico 19,Tópico 20,Tópico 21,Tópico 22,Tópico 23,Tópico 24,Tópico 25,Tópico 26,Tópico 27,Tópico 28,Tópico 29,Tópico 30,Tópico 31,Tópico 32,Tópico 33,Tópico 34,Tópico 35,Tópico 36,Tópico 37,Tópico 38,Tópico 40,Tópico 41,Tópico 43,Tópico 44,Tópico 45,Tópico 46,Tópico 47,Tópico 49,Tópico 51,Tópico 52,Tópico 53,Tópico 54,Tópico 55,Tópico 56,Tópico 59,Tópico 60,Tópico 61,Tópico 62,Tópico 63,Tópico 64,Tópico 68,Tópico 69,Tópico 70,Tópico 71,Tópico 73,Tópico 76,Tópico 77,Tópico 78,Tópico 79,Tópico 80,Tópico 81,Tópico 83,Tópico 86,Tópico 87,Tópico 88,Tópico 89,Tópico 90,Tópico 91,Tópico 92,Tópico 93,Tópico 94,Tópico 95,Tópico 96,Tópico 100,Tópico 101,Tópico 105,Tópico 106,Tópico 107,Tópico 108,Tópico 109,Tópico 110,Tópico 111,Tópico 112,Tópico 113,Tópico 114,Tópico 116,Tópico 117,Tópico 118,Tópico 119,Tópico 122,Tópico 123,Tópico 124,Tópico 125,Tópico 126,Tópico 128,Tópico 129,Tópico 130,Tópico 131,Tópico 132,Tópico 133,Tópico 134,Tópico 137,Tópico 140,Tópico 142,Tópico 143,Tópico 148,Tópico 149,Tópico 150
1,Roberto Carlos,Roberto Carlos,Djavan,Roberto Carlos,Paulinho da Viola,Roberto Carlos,Beth Carvalho,Alcides Gerardi,Sandy & Junior,Skank,Adryana e a Rapaziada,Alex e Matielo,Jair Rodrigues,Adriana Calcanhotto,Kid Abelha,Bruno e Barretto,Fernando e Sorocaba,Angela Ro Ro,Ara Ketu,Beto Guedes,Beto Barbosa,Boca Livre,Elis Regina,Gal Costa,Beto Guedes,A Cor do Som,Clara Nunes,Bruninho e Davi,Ana Carolina,Fábio Jr.,Banda Eva,Djavan,Guilherme Arantes,Benito Di Paula,Pollo,Milton Nascimento,The Fevers,Luis Claudio,Capital Inicial,Thaeme e Thiago,José Ricardo,Sérgio Reis,Daniela Mercury,Capital Inicial,Chrystian & Ralf,George Henrique e Rodrigo,Alexandre Pires,Beto Barbosa,Harmony Cats,Fat Family,Caetano Veloso,Cássia Eller,Sorriso Maroto,Bruno & Marrone,KLB,Hugo Pena e Gabriel,Júlia & Rafaela,Milton Nascimento,Agnaldo Rayol,Titãs,Os Morenos,Agepê,Bokaloka,Marina Lima,Maria Bethânia,Bruno e Barretto,Alceu Valença,Eduardo Costa,Babado Novo,Beth Carvalho,Agnaldo Rayol,Terra Samba,Carlos Alberto,Bruno & Marrone,Rita Lee,Osny Silva,Clara Nunes,Leandro Lopes,Sérgio Murillo,Gusttavo Lima,João Gilberto,Fernando e Sorocaba,Bruno & Marrone,Chico Buarque,KLB,Erasmo Carlos,Grupo Raça,Kid Abelha,Leonardo,Nilo Amaro e seus Cantores de Ébano,Cláudia Olivetti,Rita Lee,Zezé Di Camargo & Luciano,Leoni,Gian e Giovani,Belo,Daniela Mercury,Paula Fernandes,Ara Ketu,Skank,Katinguelê (Continental),Alexandre Pires,Dóris Monteiro,Agnaldo Rayol,Zeca Pagodinho,Paulo Ricardo,Bruno & Marrone,Chiclete Com Banana,Camisa de Vênus,Capital Inicial,Só Pra Contrariar (SPC),Gal Costa,João Neto e Frederico,Erasmo Carlos,Babado Novo,Roberto Carlos
2,Zezé Di Camargo & Luciano,Bruno & Marrone,Daniel,Tim Maia,Belo,Luan Santana,Legião Urbana,Alcione,Ivete Sangalo,Lulu Santos,Agnaldo Rayol,Beth Carvalho,,Baden Powell,Wilson Simonal,Deny e Dino,Grupo Fundo de Quintal,Katinguelê,Edson Gomes,Gonzaguinha,Gabriel O Pensador,Cleiton e Camargo,Jamelão,Maurício Mattar,Skank,Beth Carvalho,Magazine (BR),Elis Regina,Engenheiros do Hawaii,,Chico Buarque,Jota Quest,,Beth Carvalho,,,,RPM,Maria Creuza,,Munhoz e Mariano,Taiguara,Ivete Sangalo,NX Zero,Exaltasamba,Victor & Leo,Benito Di Paula,Bruno & Marrone,Marisa Monte,Jefferson Moraes,Raça Negra,Os Paralamas do Sucesso,,Danni Carlos,Roberto Carlos,Martinho da Vila,Simone,Roberto Carlos,,,Zé Ramalho,Eduardo Costa,Cidade Negra,,,Herva Doce,Nego do Borel,Os Paralamas do Sucesso,Robinson Monteiro,Thiaguinho,Titãs,,,,,,João Carreiro & Capataz,Raça Negra,,Netinho,Lulu Santos,,Ângela Maria,,Nação Zumbi,Jota Quest,,Luan Santana,,,Natiruts,,,,,Claudia Leitte,,,Kid Abelha,É o Tchan,Os Mutantes,Elba Ramalho,Rita Lee,Tihuana,Alcione,Sandy & Junior,,Fernanda Abreu,,Miltinho,,P.O. Box,Milionário e José Rico,,Zezé Di Camargo & Luciano,
3,Gal Costa,Zezé Di Camargo & Luciano,Wilson Simonal,Jorge Vercillo,Quarteto em CY,Kid Abelha,Ara Ketu,Mc Serginho,Roupa Nova,Alcides Gerardi,Sérgio Reis,Bruno & Marrone,,Cidade Negra,,KLB,Jair Rodrigues,Wando,Fafá de Belém,Gustavo Lins,Paulo Roberto,Jorge Ben Jor,Nara Leão,Trio Parada Dura,,Cidade Negra,Thaeme e Thiago,Golden Boys,Exaltasamba,,D'Black,Sandy & Junior,,Br'oz,,,,Ultraje a Rigor,,,,,Os Travessos,Roberto Carlos,Harmonia do Samba,,Vanessinha Pikatchu,Selma Reis,Titãs,João Paulo e Daniel,Sandra de Sá,,,Ivo Pessoa,,Odair José,,,,,,Exaltasamba,,,,Leila Pinheiro,Papas da Língua,,,,Wanessa Camargo,,,,,,Meire Pavão,,,Rita Lee,Planet Hemp,,,,,Tim Maia,,,,,,,,,,,,,Nara Leão,,Wanessa Camargo,,Sandra de Sá,,Tim Maia,,,Martinho da Vila,,,,,,,,
4,Chico Buarque,Leonardo,Cazuza,Jorge & Mateus,Legião Urbana,Erasmo Carlos,Michelle Nascimento,Os Originais do Samba,Luan Santana,Leonardo,Sá & Guarabyra,Caetano Veloso,,Gian e Giovani,,Paula Fernandes,Maria Bethânia,,Fernando e Sorocaba,Netinho,,Marcos & Belutti,Nelson Gonçalves,Zé Neto e Cristiano,,Dalvan e Donizetti,Tim Maia,Grupo Raça,Jorge Ben Jor,,Daniela Mercury,Skank,,Chico Buarque,,,,,,,,,Raimundos,Só Pra Contrariar (SPC),Milton Nascimento,,Sandy & Junior,,,Luxúria,,,,Vinícius Cantuária,,Raimundos,,,,,,Jorge & Mateus,,,,Matheus & Kauan,Vange Leonel,,,,,,,,,,Rumbora,,,,,,,,,,,,,,,,,,,,,,Toquinho,,,,,,,,,Raul Seixas,,,,,,,,
5,Elis Regina,Ivete Sangalo,Os Paralamas do Sucesso,Alcione,Leno,Jorge & Mateus,KLB,Os Paralamas do Sucesso,Maria Martha,Tom Jobim,Soweto,Cidade Negra,,Os Paralamas do Sucesso,,Sorriso Maroto,Netinho de Paula,,Marília Mendonça,Os Caçulas,,Milionário e José Rico,,,,Fundo de Quintal,Tânia Mara,Lulu Santos,Kid Abelha,,Elaine de Jesus,,,Fernando e Sorocaba,,,,,,,,,Ultraje a Rigor,,,,Roberto Carlos,,,Skank,,,,,,Simone & Simaria,,,,,,Jota Quest,,,,Odair José,,,,,,,,,,,Zé Ramalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Luan Santana,João Bosco e Vinícius,Rosana,Simone,Maskavo,Daniel,Kell Smith,Paula Fernandes,NX Zero,Roberto Carlos,Roberta Miranda,Gabriel O Pensador,,Skank,,,,,Rouge,Só Pra Contrariar (SPC),,Twister,,,,G.R.E.S. Império Serrano (RJ),Wando,Marlon & Maicon,Ney Matogrosso,,Eliana Ribeiro,,,Henrique & Juliano,,,,,,,,,,,,,Ricardo Barbosa,,,,,,,,,,,,,,,Los Indios Tabajaras,,,,Roberto Rei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tim Maia,João Paulo e Daniel,Rita Lee,Pedrosa,O Rappa,Zezé Di Camargo & Luciano,Leandro & Leonardo,Pique Novo,Nelson Ned,Roberta Miranda,Raul Seixas,Louro Santos e Victor Santos,,Thiaguinho,,,,,Zezé Di Camargo & Luciano,Zezé Di Camargo & Luciano,,Wanessa Camargo,,,,Gilberto Gil,Zezé Di Camargo & Luciano,Os Morenos,Restart,,Fernanda Abreu,,,Karametade,,,,,,,,,,,,,Renato Teixeira,,,,,,,,,,,,,,,Os Paralamas do Sucesso,,,,Sandra de Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Chitãozinho & Xororó,Chico Buarque,Ricardo e João Fernando,Pepeu Gomes,Os Originais do Samba,Moacyr Franco,Marchinhas de Carnaval,RPM,Osvaldo Rodrigues,Orlando Silva,Psirico,Luan Santana,,,,,,,,,,Zezé Di Camargo & Luciano,,,,Marina Lima,,,Tim Maia,,Leny Eversong,,,Negritude Junior,,,,,,,,,,,,,Martinho da Vila,,,,,,,,,,,,,,,Sandy & Junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Legião Urbana,Wanderlea,Rede Globo,Roupa Nova,Os Paralamas do Sucesso,Wando,Marina Lima,Raimundos,Roberto Carlos,Nara Leão,Paula Fernandes,Marcos & Belutti,,,,,,,,,,,,,,Maurício Manieri,,,Titãs,,Marina Lima,,,Selma Reis,,,,,,,,,,,,,Marcos Valle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ivete Sangalo,Titãs,RBD,SNZ,Raça Negra,Bruno & Marrone,Marlene,Rapazolla,Blitz,Michel Teló,Mauro Celso,Marisa Monte,,,,,,,,,,,,,,Sandy & Junior,,,Zezé Di Camargo & Luciano,,Marisa Monte,,,Trio Esperança,,,,,,,,,,,,,Henrique & Juliano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
