topico_hdp,num_musicas,media_ano
1,1574,1987
2,411,1989
3,78,1989
4,42,1991
5,39,1986
6,371,1987
7,45,1984
8,40,1994
9,39,1996
10,27,1987
11,24,1992
12,15,1992
13,1,1972
14,7,2001
15,2,1975
16,5,2003
17,5,1990
18,3,1985
19,7,2003
20,7,1989
21,3,1995
22,8,1994
23,4,1961
24,4,1992
25,2,1988
26,12,1990
27,7,1993
28,7,1990
29,11,1990
30,1,1997
31,10,1992
32,4,1997
33,1,1978
34,10,1991
35,1,2013
36,1,1981
37,1,1985
38,3,1976
40,2,1984
41,1,2013
43,2,1990
44,2,1972
45,5,1998
46,4,1995
47,4,1991
49,2,2016
51,18,1995
52,3,1998
53,3,1991
54,5,2003
55,3,1991
56,2,1996
59,1,2008
60,4,2001
61,3,1990
62,5,1998
63,2,2000
64,2,1975
68,1,1965
69,1,2000
70,2,1990
71,8,1997
73,2,2000
76,1,1989
77,1,1986
78,7,1990
79,4,1999
80,2,2002
81,2,2001
83,2,1996
86,3,1993
87,1,1998
88,1,1964
89,1,2011
90,1,2001
91,1,1959
92,5,1988
93,2,1999
94,1,1959
95,3,1996
96,3,1979
100,1,2016
101,2,1982
105,1,1965
106,2,1998
107,3,1982
108,1,1995
109,2,2010
110,1,2003
111,1,1963
112,2,1992
113,1,2000
114,1,2006
116,1,1994
117,1,1988
118,2,2007
119,1,1992
122,1,2015
123,4,1982
124,2,1996
125,3,1991
126,2,1992
128,3,1981
129,2,1982
130,4,1994
131,2,1998
132,1,2007
133,4,1985
134,1,1986
137,2,1973
140,1,1995
142,2,1989
143,2,1992
148,1,1973
149,2,2001
150,1,1973
